pc1,pc2,pc3,pc4
-7.507331672,-0.075886539,-0.058091393,0.616732016
-6.116959756,0.339514542,-0.797030385,0.018240152
-4.081806742,0.310811829,-1.349417913,1.974778124
-7.33036427,-0.468255921,-2.224618923,0.979246446
-7.005237712,-0.540244864,-0.643568547,0.877517557
-6.831168406,0.896569627,-1.409376969,1.335122598
-5.139101053,0.552826702,-0.425018413,1.035625943
-3.474720219,1.246880693,-3.086413741,0.415102112
-4.506842047,1.027997358,-1.5581124,1.183570094
-5.611681051,-0.261029308,-1.43435419,0.430880398
-7.337700064,0.509422386,-1.764653362,0.485749051
-3.324355545,-0.02982624,-2.296654123,0.420996764
-7.7840681,0.573516994,-1.558265366,-0.023558722
-6.317330198,0.569234593,-0.335387605,0.151799096
-5.603891988,0.296712096,-0.750502282,1.076842266
-4.867898489,0.04641441,-0.71342897,1.242339119
-7.979125457,0.189043197,-0.841198407,-0.39907666
-5.778347342,-1.403647985,-1.478146481,0.243133998
-3.738398474,-0.818658116,0.493625863,-0.159939749
-5.646773041,-0.163146141,-1.458645029,0.207289153
-5.535026713,-0.274468802,-0.990921668,-0.310226572
-6.494398896,-0.270008521,-1.119068409,0.113513347
-7.307429,-0.193261375,-0.401310147,1.203744713
-7.317832259,-0.236655913,-1.07555949,0.683013052
-4.922821236,-0.330045562,-2.55992187,0.19263504
-5.134260509,-0.459755373,-1.850167134,1.230261062
-2.873991522,-0.583660552,-1.23410256,1.151501084
-7.159153478,0.045530187,-1.33265998,1.897078486
-6.565265801,-0.10391179,-1.703377489,0.034827493
-4.113137792,-0.189534378,-1.924506739,0.030060295
-5.503113658,-0.017721315,-1.486125465,0.24498022
-4.345158452,-1.3711921,-0.508530649,0.435125188
-7.20089412,-0.707532946,-1.498736938,0.408598816
-7.047193235,-0.776794882,-1.448248513,0.217757246
-3.150578322,-0.915056988,-2.529455884,0.171149606
-3.41322959,-0.882898465,-2.103623589,0.376340963
-2.714447695,-0.769460209,-2.763199054,0.513884463
-8.143418735,-1.160307671,-0.426894516,1.839473288
-6.723333959,-0.00744142,-1.211942415,-0.217719464
-7.153442549,-1.368709771,-0.41883578,1.529194842
-5.155817157,-0.462913374,-0.114488479,0.576206511
-6.842823266,-0.450293441,-1.46295674,1.132236615
-6.558699529,-0.576258512,-0.369912879,-0.270663988
-7.087806553,-0.458632589,-1.401506365,0.935853406
-6.056560431,-0.785343347,-0.580097237,0.186925056
-7.642964917,-1.443276019,-1.548961768,0.702095474
-3.853710931,-0.662674676,-1.272637571,0.866598997
-3.616656989,-0.512839004,-0.344258491,-0.31321976
-6.554665971,-1.378571951,-1.258653215,-0.300339735
-3.405177304,-1.749574096,-1.291879211,0.928031547
-2.764009319,-1.151003087,-1.688203226,0.487119535
-4.720338786,-1.566184761,-0.982181339,-0.333823054
-7.256776474,-1.182728476,-0.953199866,1.629414094
-5.908215693,-1.65990739,-0.601167737,0.587828343
-3.810770947,-1.105494401,-0.604137801,0.64271106
-7.607231083,0.6259842,-1.32582043,0.831768879
-6.350281466,1.838998902,-1.807480833,0.403709547
-8.122075044,-0.527455427,-0.814735633,0.002689489
-7.600262448,-0.007793275,-0.426934114,1.353485417
-9.422386061,1.184538012,-2.731420943,-0.520648326
-8.573901302,-0.634326836,-0.596536981,-0.466976912
-9.735658714,1.555311814,-1.215669431,-1.033265864
-8.325762818,1.834483953,-0.421640501,-0.977013559
-7.56939124,0.408947601,-2.01455343,1.204363678
-8.561812542,0.574566145,-2.347138043,0.038071802
-6.888626638,1.445499632,-1.945580855,0.577452315
-7.868010437,1.439414075,-1.744311845,1.487503049
-8.244599794,1.988718755,-1.324681207,0.571005878
-6.177699589,-0.167574211,-1.832926141,0.999018671
-4.117819472,0.240508943,-1.925627358,0.447179165
-3.938614665,0.823003894,-2.363370128,0.421374581
-3.318649001,0.329795374,-1.538260145,0.214382659
-6.110880192,-0.040253027,-0.580887058,-0.056342481
-4.477075353,0.243824889,-1.95251239,0.009237523
-6.01257386,0.283307081,-2.522486444,0.523633615
-4.240028031,-0.051869049,-2.153331143,0.864003378
-5.325308759,-1.169812326,-2.485717282,0.627191639
-5.047914877,-0.607374104,-1.487246527,0.814250581
-5.393777833,0.7626066,-1.229387731,1.605311336
-6.856649072,0.241820079,-1.911018613,0.974738984
-6.506089963,0.165973334,-1.802529456,0.470977256
-5.554649194,0.239785803,-1.738738179,1.0366862
-4.996905893,-0.310075354,-0.454718222,1.132533017
-5.190509228,-1.214412649,0.35935908,0.895368046
-2.800830859,-1.025168798,-1.450134797,0.899519367
-4.439210651,-0.211647073,-1.742600386,1.22002257
-5.010652519,-0.030486644,-2.523854885,1.031431887
-3.386691811,0.65564349,-1.508023495,1.305184913
-3.488500649,0.50151701,-1.798293226,0.858333479
-4.680337782,0.045778043,-1.370481967,0.463305547
-5.86427885,-1.036519849,-0.765516643,-0.041708014
-3.866959348,-0.037335631,-1.003298335,-0.101347409
-1.560568728,0.371195855,-2.359079168,0.743662685
-5.681051628,0.572497441,-0.286693558,0.097671722
-5.538857301,-0.293350117,-0.875751549,0.437908196
-5.35703931,0.390082115,-0.7777183,-0.039499698
-5.940444801,-0.530253947,-0.672200188,0.845330369
-3.927093799,-0.153473995,-0.758473942,-0.16688305
-4.33195106,-0.329027398,-0.589261752,-0.110281645
-3.553562127,0.117882255,-0.625690973,-0.194203767
-5.742183218,-0.050039144,-0.495923542,0.165629929
-4.958474268,-0.227971775,-0.953238988,0.555918249
-5.094815425,-0.21104245,-1.597222054,0.245250824
-5.583312328,-0.362993395,-1.143801387,0.186853845
-5.47756881,1.106613614,-1.045401055,1.117928444
-4.224219131,0.138995164,0.118598043,1.582531837
-6.631172805,1.033430771,-1.174374436,1.829387238
-4.238293794,0.87510873,-0.358100538,1.272253577
-5.349690517,0.187055028,-0.531992128,1.491492302
-3.752143972,-0.928633685,-2.977912242,0.497014401
-4.536321447,-1.108920591,-1.638068821,0.832817201
-2.529925406,0.100230322,-0.544772339,0.670764593
-6.494692414,-0.038584461,-1.015354169,1.718704114
-4.347654616,-0.270582781,-0.181801553,1.037891721
-2.979701999,0.600219954,-1.553215455,1.877707252
-6.508054793,0.407684256,0.062125691,1.372630889
-6.489608767,0.281558055,-0.115751854,1.122680175
-2.722494098,0.870330608,-1.29522052,1.589244101
-6.612750313,-0.511157896,-1.489651209,0.694177688
-5.576523037,1.009458262,-1.317439449,0.847864287
-6.757984734,-0.293124004,-0.672419279,0.87770524
-5.958480692,-0.485364734,-0.349326578,0.853933882
-6.552421664,-1.084943599,-1.050901795,0.820156282
-5.901547238,-0.03140786,-1.440144157,0.622686796
-3.850234179,-0.03663986,1.24260884,0.668300525
-4.12116074,-0.629450763,-1.825823199,1.323787632
-3.486558371,-1.15089299,-1.02044149,1.004270329
-5.042992674,-0.10360421,-0.358248525,0.664287391
-6.165884826,0.147776223,-0.949209992,0.96805663
-1.785119619,-0.472143123,-1.967481766,-0.032908551
-4.267973548,-0.850373837,-2.750325078,1.387048756
-2.875558194,-0.167977413,-2.146025278,1.228154373
-0.601078317,-0.154364448,-1.626365383,1.926547183
-3.485310463,0.590875031,-1.752830966,1.541818443
-5.238222954,-0.735968863,-1.09115237,0.339068198
-2.880340125,-0.063214816,-3.309068755,1.126336626
-5.929920426,-0.259432444,-2.421068827,1.159589018
0.187521106,0.214554776,0.542682571,-0.650649593
0.908364702,-0.520875166,1.049462715,-0.694519306
-0.506314227,-0.567063411,0.492736552,-0.74865116
-0.663189373,-0.568027277,0.555427654,-0.481867133
-0.368126201,-1.138390231,0.020523388,-0.991206675
-0.599241759,-0.084538513,0.516052384,-1.358375848
-1.474738079,0.01781417,-0.237660217,-0.767774069
-0.490437765,0.206715953,0.583811785,-1.483681002
-2.510057461,0.357998635,-0.729247497,-1.040320825
-0.703527729,0.269809877,0.544356069,-0.124336979
-3.126667761,0.306094803,-0.100236903,-1.407407616
-0.960862994,-0.60282364,0.13432192,-1.008440114
-2.3524763,-0.217938513,-0.189913944,-0.445972862
-0.825941772,0.427808836,0.387375888,-1.12684137
-1.848102953,-0.041599903,-0.010920032,-0.62224639
-2.177877179,-0.329435698,-0.370192052,-0.728548682
-2.361192633,-0.406384428,0.278625109,-0.88902214
-0.349081424,-0.294142655,-0.576712425,-1.001976262
